"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Alberta Carbon Trunk Line (ACTL) (ALB)",25,"Canada","Wolf Carbon Solutions (Wolf Midstream, Enhance Energy)","Transport",2011,2018,2020,,"Operational",,14.6,14.6,"Transport","EOR","Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility","North America","https://majorprojects.alberta.ca/details/Alberta-Carbon-Trunk-Line/622",,,,,,,"Link 1","","","","","",""
"Altalto",1107,"United Kingdom","Altalto Immingham Limited","Capture",2021,,,,"Planned",,,,"Biofuels","Dedicated storage","Northern Endurance Partnership","Europe","https://www.altalto.com/2023/05/10/altalto-immingham-project-update/",,,,,,,"Link 1","","","","","",""
"Altera Stella Maris CCS Project Phase 2",28,"Norway","Altera, Hoegh LNG, Sevan SSP (FEED), Wintershall Dea ","T&S",2020,,,,"Planned",2,3,3,"T&S","Dedicated storage","Altera Stella Maris CCS/ Havstjerne ","Europe","https://alterainfra.com/what-we-do/ccs","https://alterainfra.com/articles/one-step-closer-to-realising-stella-maris-ccs","https://www.regjeringen.no/en/aktuelt/award-of-two-new-licences-for-co2-storage-on-the-norwegian-continental-shelf/id2970248/","https://alterainfra.com/what-we-do/ccs","https://alterainfra.com/articles/one-step-closer-to-realising-stella-maris-ccs",,,"Link 1","Link 2","Link 3","Link 4","Link 5","",""
"Aluminium Bahrain MHI capture",29,"Bahrain","Aluminium Bahrain (Alba), Mitsubishi HI (Feasibility/tech)","Capture",2022,,,,"Planned",,,,"Other industry","Unknown/unspecified",,"Middle East","https://www.reuters.com/business/sustainable-business/aluminium-bahrain-mitsubishi-heavy-industries-sign-mou-carbon-capture-2022-01-19/",,,,,,,"Link 1","","","","","",""
"Aluminium Dunkerque feasibility study",809,"France","EDF, Aluminium Dunkerque, Trimet, Rio Tinto and Fives","Capture",2021,,,,"Planned",,0.24,0.24,"Other industry","Unknown/unspecified",,"Europe","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4271839","https://www.usinenouvelle.com/article/nous-lancons-un-projet-de-capture-de-co2-pour-l-aluminium-primaire-annonce-guillaume-de-goys-president-d-aluminium-france.N1049874",,,,,,"Link 1","Link 2","","","","",""
"Amager Bakke/Amager Resource Centre (ARC)",89,"Denmark","ARC, Babcock & Wilcox, Copenhagen Port","Capture",2020,,2025,,"Planned",,0.5,0.5,"Power and heat","Dedicated storage",,"Europe","https://www.maritime-executive.com/article/copenhagen-port-participates-in-carbon-capture-and-storage-project","https://www.energy-supply.dk/procurement/view/138997/market_dialogue_project_climaid_copenhagen_delivery_and_commissioning_of_a_carbon_capture_unit_at_arc_premises","https://a-r-c.dk/klima-og-miljo/co2-fangst/","https://a-r-c.dk/about-arc/carbon-capture/",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"ANRAV-CCUS (Devnya plant)",560,"Bulgaria","Heidelberg Materials, Petroceltic","Full chain",2022,,2028,,"Planned",1,0.8,0.8,"Cement","Dedicated storage",,"Europe","https://www.heidelbergmaterials.com/en/pr-12-07-2022","https://www.heidelbergmaterials.com/en/pr-2023-01-20",,,,,,"Link 1","Link 2","","","","",""
"Antwerp@C CO2 Export Hub phase 1",31,"Belgium","Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys and the Port of Antwerp","Transport",2019,2024,2027,,"Planned",1,2.5,2.5,"Transport","Dedicated storage","Antwerp@C","Europe","https://newsroom.portofantwerpbruges.com/the-antwerpc-project-takes-a-major-next-step-towards-halving-co2-footprint#","https://www.airliquide.com/group/press-releases-news/2022-12-12/air-liquide-fluxys-belgium-and-port-antwerp-bruges-awarded-eu-funding-building-antwerpc-co2-export","https://energy.ec.europa.eu/news/connecting-europe-facility-over-eu-600-million-energy-infrastructure-support-european-green-deal-and-2022-12-08_en","https://cinea.ec.europa.eu/news-events/news/cef-energy-antwerpc-co2-export-hub-receives-1446-million-eu-funding-co2-capture-infrastructure-2023-06-26_en",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Antwerp@C CO2 Export Hub phase 2",585,"Belgium","Air Liquide, BASF, Borealis, ExxonMobil, INEOS, TotalEnergies, Fluxys and the Port of Antwerp","Transport",2019,2024,2030,,"Planned",2,7.5,7.5,"Transport","Dedicated storage","Antwerp@C","Europe",,,,,,,,"","","","","","",""
"Appalachian basin storage MoU (OH, PA, WV)",1010,"United States","Battelle, Equinor","Storage",2022,,,,"Planned",,,,"Storage","Dedicated storage","CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)","North America","https://www.equinor.com/news/us/explores-appalachian-basin-carbon-capture-storage-potential","https://h2-tech.com/news/2023/09-2023/fidelis-new-energy-selects-battelle-carbon-services-to-support-the-mountaineer-gigasystem-hydrogen-project/",,,,,,"Link 1","Link 2","","","","",""
