"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale)",1,"France","ArcelorMittal, ifp, Axens, Uetikon, Grassco, brevik, TotalEnergies (T&S)","Capture",2019,,2025,,"Planned",2,0.7,0.7,"Iron and steel","Unknown/unspecified",,"Europe","https://automotive.arcelormittal.com/news_and_stories/news/2019DMXproject","https://3d-ccus.com/3d-overview/",,,,,,"Link 1","Link 2","","","","",""
"3D DMX ArcelorMittal and IFPEN Dunkirk 'REUZE'",751,"France","ArcelorMittal, Engie, Infinium","CCU",2022,2024,2025,,"Planned",1,0.3,0.3,"Iron and steel","Use",,"Europe","https://newsroom.engie.com/actualites/engie-et-infinium-annoncent-un-partenariat-pour-developper-un-hub-industriel-denvergure-europeenne-de-production-de-carburants-de-synthese-a-dunkerque-6d4d-ff316.html","https://corporate.arcelormittal.com/climate-action/decarbonisation-technologies/the-3d-project-dmx-demonstration-in-dunkirk",,,,,,"Link 1","Link 2","","","","",""
"7 Blue Ammonia Facility",1055,"Qatar","QAFCO, thyssenkrupp Uhde/Consolidated Contractors Company (EPC)","Full Chain",2022,2022,2026,,"Under construction",,1.5,1.5,"Hydrogen or ammonia","Unknown/unspecified",,"Middle East","https://www.qafco.qa/content/qafco-7-announcement","https://www.thyssenkrupp.com/en/newsroom/press-releases/pressdetailpage/thyssenkrupp-uhde-to-build-world-scale-blue-ammonia-plant-in-qatar-138369",,,,,,"Link 1","Link 2","","","","",""
"8Rivers H2 (8RH2) (WY)",3,"United States","8Rivers, Wyoming Energy Authority","Capture",2022,,,,"Planned",,,,"Hydrogen or ammonia","Dedicated storage",,"North America","https://8rivers.com/portfolio/8-rivers-hydrogen/#",,,,,,,"Link 1","","","","","",""
"Abadi CCS/CCUS",227,"Indonesia","Inpex Masela 65%, Shell (trying to find a buyer for its shares), ITB (feasibility)","Full chain",2018,,2027,,"Planned",,2.41,2.41,"Natural gas processing/LNG","Unknown/unspecified",,"Other Asia Pacific","https://www.upstreamonline.com/lng/inpex-further-delays-flagship-abadi-lng-project/2-1-1173044","https://www.ogj.com/pipelines-transportation/lng/article/14292056/inpex-submits-ccs-plan-for-abadi-lng-project","https://www.spglobal.com/commodityinsights/en/market-insights/latest-news/lng/092823-interview-indonesia-to-finalize-presidential-ccsccus-regulation-by-year-end",,,,,"Link 1","Link 2","Link 3","","","",""
"Ackerman Combined Cycle Plant (MS)",975,"United States","Trifecta Renewable Solutions, Tennessee Valley Authority","Capture",2023,,,,"Planned",,1.8,1.8,"Power and heat","Dedicated storage","Red Hills CO2 storage hub (MS)","North America","https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-2",,,,,,,"Link 1","","","","","",""
"Acorn CCS phase 1-Capture at St Fergus",7,"United Kingdom","Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)","Capture",2016,2024,2028,,"Planned",,0.3,0.3,"Natural gas processing/LNG","Dedicated storage","Acorn CCS","Europe","https://www.upstreamonline.com/energy-transition/five-proposed-uk-carbon-capture-projects-meet-governments-eligibility-test/2-1-1047222","https://www.offshore-energy.biz/carbon-clean-to-carry-out-feed-on-acorn-carbon-capture-plant/","https://www.backthescottishcluster.co.uk/the-scottish-cluster-supply-chain","https://www.storegga.earth/news/2021/news/acorn-project-partners-storegga-shell-u-k-and-harbour-energy-sign-mou-with-the-owners-of-the-segal-and-fuka-gas-terminals-at-st-fergus/","https://www.scottishconstructionnow.com/articles/acorn-project-partners-select-carbon-clean-to-deliver-st-fergus-carbon-capture-plant-feed-study","https://www.energyvoice.com/oilandgas/north-sea/370332/st-fergus-terminal-owner-joins-acorn-ccs-project-as-partner",,"Link 1","Link 2","Link 3","Link 4","Link 5","Link 6",""
"Acorn CCS phase 1-T&S",8,"United Kingdom","Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)","T&S",2016,2024,2028,,"Planned",1,"0.3 - 0.8",0.8,"T&S","Dedicated storage","Acorn CCS","Europe","https://www.upstreamonline.com/energy-transition/five-proposed-uk-carbon-capture-projects-meet-governments-eligibility-test/2-1-1047222","https://www.offshore-energy.biz/carbon-clean-to-carry-out-feed-on-acorn-carbon-capture-plant/","https://www.backthescottishcluster.co.uk/the-scottish-cluster-supply-chain","https://www.storegga.earth/news/2021/news/acorn-project-partners-storegga-shell-u-k-and-harbour-energy-sign-mou-with-the-owners-of-the-segal-and-fuka-gas-terminals-at-st-fergus/","https://www.scottishconstructionnow.com/articles/acorn-project-partners-select-carbon-clean-to-deliver-st-fergus-carbon-capture-plant-feed-study","https://www.energyvoice.com/oilandgas/north-sea/370332/st-fergus-terminal-owner-joins-acorn-ccs-project-as-partner",,"Link 1","Link 2","Link 3","Link 4","Link 5","Link 6",""
"Acorn CCS phase 2",9,"United Kingdom","Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)","T&S",2017,,,,"Planned",2,5,5,"T&S","Dedicated storage","Acorn CCS","Europe","https://www.upstreamonline.com/energy-transition/five-proposed-uk-carbon-capture-projects-meet-governments-eligibility-test/2-1-1047222","https://www.offshore-energy.biz/carbon-clean-to-carry-out-feed-on-acorn-carbon-capture-plant/","https://www.backthescottishcluster.co.uk/the-scottish-cluster-supply-chain","https://www.storegga.earth/news/2021/news/acorn-project-partners-storegga-shell-u-k-and-harbour-energy-sign-mou-with-the-owners-of-the-segal-and-fuka-gas-terminals-at-st-fergus/","https://www.scottishconstructionnow.com/articles/acorn-project-partners-select-carbon-clean-to-deliver-st-fergus-carbon-capture-plant-feed-study","https://www.energyvoice.com/oilandgas/north-sea/370332/st-fergus-terminal-owner-joins-acorn-ccs-project-as-partner","https://www.theacornproject.uk/news-and-events/nsta-grants-carbon-storage-licences-to-acorn","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Acorn H2",10,"United Kingdom","Storegga, Chrysaor, Shell","Capture",2018,,2028,,"Planned",,0.4,0.4,"Hydrogen or ammonia","Dedicated storage","Acorn CCS","Europe","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/866380/Phase_1_-_Pale_Blue_Dot_Energy_-_Acorn_Hydrogen.pdf",,,,,,,"Link 1","","","","","",""
"Acorn Isle of Grain to Peterhead shipping",1018,"United Kingdom","Acorn, Uniper","Transport",2023,,,,"Planned",,2,2,"Transport","Dedicated storage","Acorn CCS","Europe","https://netl.doe.gov/coal/carbon-storage/atlas/secarb",,,,,,,"Link 1","","","","","",""
"Adams Fork Energy clean ammonia project (WV)",1033,"United States","Adams Fork Energy, the Flandreau Santee Sioux Tribe","Capture",2022,2024,,,"Planned",,,3.591,"Hydrogen or ammonia","Unknown/unspecified",,"North America","https://adamsforkenergy.com/","https://investors.cnx.com/news-releases/2023/04-03-2023-114519172","https://www.reuters.com/sustainability/cnx-resources-pulls-out-adams-fork-ammonia-project-2023-12-15/",,,,,"Link 1","Link 2","Link 3","","","",""
"Adbri Project",11,"Australia","Adbri, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre","Capture",2021,,,,"Planned",,,,"Cement","Dedicated storage","South West Hub Project","Australia and New Zealand","https://calix.global/co2-mitigation-focus-area/awarded-11m-in-government-funding-for-low-emissions-lime-project-with-adbri/",,,,,,,"Link 1","","","","","",""
"ADM Cedar rapids bioethanol (IA)",13,"United States","ADM","Capture",2022,,,,"Planned",,,,"Biofuels","Dedicated storage","Mt Simon Hub CCS Pipeline (IA)","North America","https://www.businesswire.com/news/home/20220110006079/en/",,,,,,,"Link 1","","","","","",""
"ADM Clinton bioethanol (IA)",14,"United States","ADM","Capture",2022,,,,"Planned",,,,"Biofuels","Dedicated storage","Mt Simon Hub CCS Pipeline (IA)","North America","https://www.businesswire.com/news/home/20220110006079/en/",,,,,,,"Link 1","","","","","",""
"ADM Decatur Campus CO2 Storage Site Expansion (IL)",816,"United States","ADM","T&S",2022,,2028,,"Planned",2,2.95,2.95,"T&S","Dedicated storage","ADM Decatur Campus CO2 Storage Site Expansion (IL)","North America",,,,,,,,"","","","","","",""
"ADM Maroa/Forsyth CO2 Storage Site Development (IL)",869,"United States","ADM","Storage",2023,,2028,,"Planned",,3.3,3.3,"Storage","Unknown/unspecified","Maroa (IL)","North America","https://www.epa.gov/uic/current-class-vi-projects-under-review-epa",,,,,,,"Link 1","","","","","",""
"ADNOC CO2 storage hub (Phase 2 of fertiglobe pilot)",928,"United Arab Emirates","ADNOC","Storage",2023,,2030,,"Planned",2,5,5,"Storage","Dedicated storage","ADNOC CO2 storage hub","Middle East","https://www.adnoc.ae/en/news-and-media/press-releases/2023/adnoc-announces-world-first-fully-sequestered-co2-injection-project",,,,,,,"Link 1","","","","","",""
"Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA)",695,"United States","Phillips 66","Capture",2021,,,,"Planned",,0.19,0.19,"Other fuel transformation","Unknown/unspecified",,"North America","https://www.netl.doe.gov/node/10875",,,,,,,"Link 1","","","","","",""
"AEB Amsterdam",1144,"Netherlands","AEB Amsterdam","CCU",2021,,2028,,"Planned",,0.44,0.44,"Power and heat","Use",,"Europe","https://www.kn.lt/en/news/news/kn-akmenes-cementas-and-orlen-lietuva-to-evaluate-the-applicability-of-liquefied-co2-capture-technology/5686","https://www.aebamsterdam.com/technology/",,,,,,"Link 1","Link 2","","","","",""
"Aemetis CCS (CA)",814,"United States","Aemetis Carbon Capture (Aemetis)","Storage",2021,,2024,,"Planned",,"1.4 - 2",1.4,"Storage","Dedicated storage","Aemetis CCS","North America","https://www.aemetis.com/products/carbon-capture/","https://www.aemetis.com/aemetis-awarded-the-first-co2-sequestration-characterization-well-permit-issued-by-the-state-of-california/",,,,,,"Link 1","Link 2","","","","",""
"Aemetis CCS Keyes facility (CA)",15,"United States","Aemetis","Capture",2021,,2024,,"Planned",,0.2,0.2,"Biofuels","Dedicated storage","Aemetis CCS","North America","https://www.globenewswire.com/news-release/2021/08/18/2282675/0/en/Aemetis-CCS-Drilling-Study-by-Baker-Hughes-Confirms-Feasibility-of-Sequestering-Two-Million-MT-per-Year-of-CO2-at-California-Ethanol-Plant-Sites.html","https://www.aemetis.com/products/carbon-capture/","https://www.aemetis.com/products/carbon-capture/","https://www.aemetis.com/aemetis-awarded-the-first-co2-sequestration-characterization-well-permit-issued-by-the-state-of-california/",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Aemetis CCS Riverbank facility (CA)",16,"United States","Aemetis","Capture",2021,,2024,,"Planned",,0.2,0.2,"Biofuels","Dedicated storage","Aemetis CCS","North America","https://www.globenewswire.com/news-release/2021/08/18/2282675/0/en/Aemetis-CCS-Drilling-Study-by-Baker-Hughes-Confirms-Feasibility-of-Sequestering-Two-Million-MT-per-Year-of-CO2-at-California-Ethanol-Plant-Sites.html","https://www.aemetis.com/products/carbon-capture/","https://www.aemetis.com/products/carbon-capture/","https://www.aemetis.com/aemetis-awarded-the-first-co2-sequestration-characterization-well-permit-issued-by-the-state-of-california/",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Air Liquide hydrogen facility Rotterdam",18,"Netherlands","Air Liquide (build, own, operate)","Capture",2012,2023,2026,,"Under construction",,0.5,0.5,"Other fuel transformation","Dedicated storage","Porthos","Europe","https://netherlandsnewslive.com/the-botlek-oil-industry-wants-2-1-billion-euros-for-co2-storage/62256/","https://www.pbl.nl/sites/default/files/downloads/pbl-2022-decarbonisation-of-the-industry-cluster-botlek-pernis-rotterdam-4946.pdf","https://www.airliquide.com/group/press-releases-news/2023-12-19/air-liquide-build-world-scale-co2-capture-unit-contribute-rotterdams-industrial-basin","https://www.hydrogeninsight.com/production/second-major-blue-hydrogen-project-reaches-final-investment-decision-in-rotterdam/2-1-1574743",,,,"Link 1","Link 2","Link 3","Link 4","","",""
